case,version,scope,reason,count,denominator,pct
user0904,bounded_tracking_gap10,final_HR,candidate_only,35,39,89.74358974358974
user0904,bounded_tracking_gap10,final_HR,gap_or_filter_edge,4,39,10.256410256410257
user0904,bounded_tracking_gap10,proposal,accepted_consensus,27,39,69.23076923076923
user0904,bounded_tracking_gap10,proposal,ambiguous_consensus,9,39,23.076923076923077
user0904,bounded_tracking_gap10,proposal,insufficient_rois,3,39,7.6923076923076925
user0904,bounded_tracking_gap15,final_HR,candidate_only,35,39,89.74358974358974
user0904,bounded_tracking_gap15,final_HR,gap_or_filter_edge,4,39,10.256410256410257
user0904,bounded_tracking_gap15,proposal,accepted_consensus,27,39,69.23076923076923
user0904,bounded_tracking_gap15,proposal,ambiguous_consensus,9,39,23.076923076923077
user0904,bounded_tracking_gap15,proposal,insufficient_rois,3,39,7.6923076923076925
user0904,guarded_fusion_gap10,final_HR,candidate_only,36,39,92.3076923076923
user0904,guarded_fusion_gap10,final_HR,gap_or_filter_edge,3,39,7.6923076923076925
user0904,guarded_fusion_gap10,proposal,accepted_consensus,36,39,92.3076923076923
user0904,guarded_fusion_gap10,proposal,insufficient_rois,3,39,7.6923076923076925
user0904,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,21,39,53.84615384615385
user0904,guarded_fusion_gap10,guard_branch_choice,tracking_quality_fallback,10,39,25.641025641025642
user0904,guarded_fusion_gap10,guard_branch_choice,stronger_qualified_evidence,4,39,10.256410256410257
user0904,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,3,39,7.6923076923076925
user0904,guarded_fusion_gap10,guard_branch_choice,frequency_disagreement_fallback,1,39,2.5641025641025643
user0904,guarded_fusion_gap15,final_HR,candidate_only,36,39,92.3076923076923
user0904,guarded_fusion_gap15,final_HR,gap_or_filter_edge,3,39,7.6923076923076925
user0904,guarded_fusion_gap15,proposal,accepted_consensus,36,39,92.3076923076923
user0904,guarded_fusion_gap15,proposal,insufficient_rois,3,39,7.6923076923076925
user0904,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,21,39,53.84615384615385
user0904,guarded_fusion_gap15,guard_branch_choice,tracking_quality_fallback,10,39,25.641025641025642
user0904,guarded_fusion_gap15,guard_branch_choice,stronger_qualified_evidence,4,39,10.256410256410257
user0904,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,3,39,7.6923076923076925
user0904,guarded_fusion_gap15,guard_branch_choice,frequency_disagreement_fallback,1,39,2.5641025641025643
user0907,bounded_tracking_gap10,final_HR,gap_or_filter_edge,33,42,78.57142857142857
user0907,bounded_tracking_gap10,final_HR,candidate_only,9,42,21.428571428571427
user0907,bounded_tracking_gap10,proposal,insufficient_rois,28,42,66.66666666666667
user0907,bounded_tracking_gap10,proposal,accepted_consensus,8,42,19.047619047619047
user0907,bounded_tracking_gap10,proposal,ambiguous_consensus,4,42,9.523809523809524
user0907,bounded_tracking_gap10,proposal,no_frequency_consensus,2,42,4.761904761904762
user0907,bounded_tracking_gap15,final_HR,gap_or_filter_edge,30,42,71.42857142857143
user0907,bounded_tracking_gap15,final_HR,candidate_only,12,42,28.571428571428573
user0907,bounded_tracking_gap15,proposal,insufficient_rois,17,42,40.476190476190474
user0907,bounded_tracking_gap15,proposal,accepted_consensus,11,42,26.19047619047619
user0907,bounded_tracking_gap15,proposal,ambiguous_consensus,11,42,26.19047619047619
user0907,bounded_tracking_gap15,proposal,tracking_jump,2,42,4.761904761904762
user0907,bounded_tracking_gap15,proposal,no_frequency_consensus,1,42,2.380952380952381
user0907,guarded_fusion_gap10,final_HR,gap_or_filter_edge,29,42,69.04761904761905
user0907,guarded_fusion_gap10,final_HR,candidate_only,13,42,30.952380952380953
user0907,guarded_fusion_gap10,proposal,insufficient_rois,28,42,66.66666666666667
user0907,guarded_fusion_gap10,proposal,accepted_consensus,13,42,30.952380952380953
user0907,guarded_fusion_gap10,proposal,ambiguous_consensus,1,42,2.380952380952381
user0907,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,29,42,69.04761904761905
user0907,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,8,42,19.047619047619047
user0907,guarded_fusion_gap10,guard_branch_choice,tracking_quality_fallback,5,42,11.904761904761905
user0907,guarded_fusion_gap15,final_HR,candidate_only,25,42,59.523809523809526
user0907,guarded_fusion_gap15,final_HR,gap_or_filter_edge,9,42,21.428571428571427
user0907,guarded_fusion_gap15,final_HR,insufficient_observed_rgb,8,42,19.047619047619047
